timestamp,sv_code,x,y,z,norad_id
2026-05-17 00:00:00,PG01,-14634.370372,14760.569246,16475.738835,62339
2026-05-17 00:00:00,PR06,12771.841547,13166.090107,-17710.555732,63130
2026-05-17 00:00:00,PE03,-20845.281335,-1306.335202,-20968.257041,41860
2026-05-17 00:00:00,PC06,-22783.171334,23608.251263,-26467.648632,44204
2026-05-17 00:00:00,PC25,18619.953394,347.718752,20765.433442,43603
2026-05-17 00:00:00,PJ02,-30040.525463,23593.216196,23090.146762,42738
2026-05-17 00:05:00,PG01,-14577.509645,14119.34878,17079.11419,62339
2026-05-17 00:05:00,PR06,12079.641183,12895.036355,-18383.064389,63130
2026-05-17 00:05:00,PE03,-21282.217602,-1751.859768,-20490.710706,41860
2026-05-17 00:05:00,PC06,-23002.114004,23995.401122,-25928.193916,44204
2026-05-17 00:05:00,PC25,18205.242219,936.05844,21112.451433,43603
2026-05-17 00:05:00,PJ02,-30131.024827,23735.594777,22741.743787,42738
2026-05-17 00:10:00,PG01,-14528.161262,13455.421037,17649.660069,62339
2026-05-17 00:10:00,PR06,11355.426204,12633.242787,-19015.796181,63130
2026-05-17 00:10:00,PE03,-21718.930088,-2176.683026,-19984.807745,41860
2026-05-17 00:10:00,PC06,-23203.907972,24391.750184,-25376.323051,44204
2026-05-17 00:10:00,PC25,17795.270033,1541.342915,21424.574358,43603
2026-05-17 00:10:00,PJ02,-30217.401367,23883.59961,22384.139945,42738
2026-05-17 00:15:00,PG01,-14487.365951,12770.100244,18186.285301,62339
2026-05-17 00:15:00,PR06,10600.862711,12382.516088,-19607.383543,63130
2026-05-17 00:15:00,PE03,-22154.108248,-2580.458659,-19451.246653,41860
2026-05-17 00:15:00,PC06,-23388.168963,24796.541349,-24812.30219,44204
2026-05-17 00:15:00,PC25,17391.240246,2162.627805,21701.287769,43603
2026-05-17 00:15:00,PJ02,-30299.383885,24037.026987,22017.453379,42738
2026-05-17 00:20:00,PG01,-14456.093117,12064.775232,18687.964498,62339
2026-05-17 00:20:00,PR06,9817.744871,12144.568599,-20156.548122,63130
2026-05-17 00:20:00,PE03,-22586.429396,-2962.916954,-18890.7643,41860
2026-05-17 00:20:00,PC06,-23554.546216,25209.00149,-24236.403219,44204
2026-05-17 00:20:00,PC25,16994.306419,2798.898468,21942.135836,43603
2026-05-17 00:20:00,PJ02,-30376.708818,24195.660722,21641.80603,42738
2026-05-17 00:25:00,PG01,-14435.236291,11340.904159,19153.74,62339
2026-05-17 00:25:00,PR06,9007.987554,11921.009981,-20662.10353,63130
2026-05-17 00:25:00,PE03,-23014.563273,-3323.865487,-18304.134919,41860
2026-05-17 00:25:00,PC06,-23702.723141,25628.342938,-23648.90362,44204
2026-05-17 00:25:00,PC25,16605.567906,3449.073468,22146.722093,43603
2026-05-17 00:25:00,PJ02,-30449.120773,24359.272447,21257.323657,42738
2026-05-17 00:30:00,PG01,-14425.608925,10600.00894,19582.723685,62339
2026-05-17 00:30:00,PR06,8173.618427,11713.339395,-21122.957902,63130
2026-05-17 00:30:00,PE03,-23437.176648,-3663.189533,-17692.169046,41860
2026-05-17 00:30:00,PC06,-23832.417924,26053.764989,-23050.086338,44204
2026-05-17 00:30:00,PC25,16226.065719,4112.008316,22314.710089,43603
2026-05-17 00:30:00,PJ02,-30516.373044,24527.621933,20864.135862,42738
2026-05-17 00:35:00,PG01,-14427.940558,9843.669405,19974.098635,62339
2026-05-17 00:35:00,PR06,7316.76952,11522.938216,-21538.116235,63130
2026-05-17 00:35:00,PE03,-23852.937935,-3980.852206,-17055.712401,41860
2026-05-17 00:35:00,PC06,-23943.384056,26484.455441,-22440.239642,44204
2026-05-17 00:35:00,PC25,15856.77863,4786.499456,22445.823925,43603
2026-05-17 00:35:00,PJ02,-30578.228122,24700.457423,20462.376109,42738
2026-05-17 00:40:00,PG01,-14442.873363,9073.517229,20327.120666,62339
2026-05-17 00:40:00,PR06,6439.668319,11351.063335,-21906.682533,63130
2026-05-17 00:40:00,PE03,-24260.521808,-4276.89433,-16395.644722,41860
2026-05-17 00:40:00,PC06,-24035.4108,26919.592145,-21819.656982,44204
2026-05-17 00:40:00,PC25,15498.61953,5471.288491,22539.848705,43603
2026-05-17 00:40:00,PJ02,-30634.458189,24877.516002,20052.181745,42738
2026-05-17 00:45:00,PG01,-14470.959092,8291.229638,20641.119709,62339
2026-05-17 00:45:00,PR06,5544.628413,11198.84107,-22227.861716,63130
2026-05-17 00:45:00,PE03,-24658.613801,-4551.434025,-15712.87856,41860
2026-05-17 00:45:00,PC06,-24108.323579,27358.344583,-21188.636849,44204
2026-05-17 00:45:00,PC25,15152.432045,6165.066619,22596.630881,43603
2026-05-17 00:45:00,PJ02,-30684.845601,25058.523976,19633.694019,42738
2026-05-17 00:50:00,PG01,-14512.656431,7498.522934,20915.501045,62339
2026-05-17 00:50:00,PR06,4634.03975,11067.26171,-22500.96133,63130
2026-05-17 00:50:00,PE03,-25045.914875,-4804.666044,-15008.358011,41860
2026-05-17 00:50:00,PC06,-24161.984313,27799.875453,-20547.482628,44204
2026-05-17 00:50:00,PC25,14818.987449,6866.479279,22616.078489,43603
2026-05-17 00:50:00,PJ02,-30729.183359,25243.19728,19207.058102,42738
2026-05-17 00:55:00,PG01,-14568.32878,6697.145859,21149.746393,62339
2026-05-17 00:55:00,PR06,3710.358544,10957.174731,-22725.393018,63130
2026-05-17 00:55:00,PE03,-25421.145934,-5036.860818,-14283.057418,41860
2026-05-17 00:55:00,PC06,-24196.291666,28243.342274,-19896.502452,44204
2026-05-17 00:55:00,PC25,14498.981856,7574.130966,22598.161294,43603
2026-05-17 00:55:00,PJ02,-30767.275564,25431.241898,18772.423108,42738
2026-05-17 01:00:00,PG01,-14638.242463,5888.872836,21343.414843,62339
2026-05-17 01:00:00,PR06,2776.09687,10869.284693,-22900.67377,63130
2026-05-17 01:00:00,PE03,-25783.052275,-5248.363256,-13537.980024,41860
2026-05-17 01:00:00,PC06,-24211.181241,28687.898997,-19236.009048,44204
2026-05-17 01:00:00,PC25,14193.03372,8286.590221,22542.910825,43603
2026-05-17 01:00:00,PJ02,-30798.937852,25622.354314,18329.942108,42738
2026-05-17 01:05:00,PG01,-14722.565377,5075.497097,21496.143641,62339
2026-05-17 01:05:00,PR06,1833.812015,10804.147848,-23026.426949,63130
2026-05-17 01:05:00,PE03,-26130.407965,-5439.59127,-12774.156581,41860
2026-05-17 01:05:00,PC06,-24206.625687,29132.697617,-18566.319591,44204
2026-05-17 01:05:00,PC25,13901.68165,9002.394761,22450.42031,43603
2026-05-17 01:05:00,PJ02,-30823.99782,25816.221974,17879.772151,42738
2026-05-17 01:10:00,PG01,-14821.366086,4258.823754,21607.64882,62339
2026-05-17 01:10:00,PR06,886.095612,10762.169461,-23102.383078,63130
2026-05-17 01:10:00,PE03,-26462.020114,-5611.034054,-11992.643929,41860
2026-05-17 01:10:00,PC06,-24182.63475,29576.889804,-17887.755549,44204
2026-05-17 01:10:00,PC25,13625.382545,9720.056729,22320.84451,43603
